geracao,fitness,movimentos
0,690,CDCEDDDCDBBEEBDCCCBDBDCBEEBEEEEECDCDEBECDDDEDCCBDCBEDECBDDEEEDBCBDEDEBCDBEEBEBCE
1,690,CDCEDDDCDBBEEBDCCCBDBDCBEEBEEEEECDCDEBECDDDEDCCBDCBEDECBDDEEEDBCBDEDEBCDBEEBEBCE
2,710,DCBDCEDDBCEDEDDCCCDBEEBDBEBCDCEDCDEDCDBBDBDDCBCDBCBDBEDBECBCBBCCDBEDEBCEDDCBDDEE
3,710,DCBDCEDDBCEDEDDCCCDBEEBDBEBCDCEDCDEDCDBBDBDDCBCDBCBDBEDBECBCBBCCDBEDEBCEDDCBDDEE
4,755,DBDDBBCEEDDBCDBBDECBEEDCBBEBDCDDDDBCCBBEBCCCBDDEBCBDBDEDBBBECDCBEDCDBEDBEEDCBDEC
5,775,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBBDBDDCBCDBCBDBEDBECBCBBCCDBEDEBCEDDCBDDEE
6,775,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBBDBDDCBCDBCBDBEDBECBCBBCCDBEDEBCEDDCBDDEE
7,795,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDCBBDEECCCCCDECB
8,795,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDCBBDEECCCCCDECB
9,795,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDCBBDEECCCCCDECB
10,795,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDCBBDEECCCCCDECB
11,815,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDBEDBECBCBBCCDBEDEBCEDDCBDDEE
12,835,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDBEDEBCDCEECBEBD
13,835,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDBEDEBCDCEECBEBD
14,835,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDBEDEBCDCEECBEBD
15,835,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDBEDEBCDCEECBEBD
16,835,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDBEDEBCDCEECBEBD
17,835,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDBEDEBCDCEECBEBD
18,835,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCDBEBCCCBDDEBCBDCEEBBDEEBDBDDBEDEBCDCEECBEBD
19,840,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDBEDBECBCBBCCDBEDEBCEDDCBDEBD
20,860,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDCEDBECBCBBCCDBEDEBCEDDCBDEBD
21,860,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDCEDBECBCBBCCDBEDEBCEDDCBDEBD
22,860,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDCEDBECBCBBCCDBEDEBCEDDCBDEBD
23,860,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDCEDBECBCBBCCDBEDEBCEDDCBDEBD
24,860,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDCEDBECBCBBCCDBEDEBCEDDCBDEBD
25,880,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDCEEBBDEEBDBDDBEDEBCEDDCBDEBD
26,880,DDDBBBBDCECDEDBCEEBEBDDBBEBDEDECCCEDCBBEBCCDCBCDBCBDCEEBBDEEBDBDDBEDEBCEDDCBDEBD
